Date,ADANIPORTS,ASIANPAINT,AXISBANK,BAJAJ-AUTO,BAJFINANCE,BAJAJFINSV,BPCL,BHARTIARTL,BRITANNIA,CIPLA,COALINDIA,DIVISLAB,DRREDDY,EICHERMOT,GRASIM,HCLTECH,HDFCBANK,HDFCLIFE,HEROMOTOCO,HINDALCO,HINDUNILVR,HDFC,ICICIBANK,ITC,IOC,INDUSINDBK,INFY,JSWSTEEL,KOTAKBANK,LT,M&M,MARUTI,NTPC,NESTLEIND,ONGC,POWERGRID,RELIANCE,SBILIFE,SHREECEM,SBIN,SUNPHARMA,TCS,TATACONSUM,TATAMOTORS,TATASTEEL,TECHM,TITAN,UPL,ULTRACEMCO,WIPRO
03-04-2020,244.8,1520.9,325.45,2033.75,2207.5,4510.75,317.15,423.95,2563.25,449.2,137.75,1901.05,3146.8,12680.05,454.7,405.8,813.85,422.3,1582.05,88.8,2154.1,1499.55,286.65,177.9,79.5,313.2,585.7,140.7,1140.85,774.65,280.7,4011.5,79.55,15104.65,69.85,156.2,1077.45,650.15,15783.8,175.5,375.95,1654.2,267.15,65.3,253.75,520.9,862.8,298.1,3041.6,180.0
07-04-2020,248.1,1623.8,388.85,2280.05,2253.35,4724.9,351.1,470.2,2834.5,492.25,140.15,2067.85,3583.2,13096.05,518.55,451.15,896.1,470.5,1769.2,103.95,2444.9,1555.15,326.1,181.55,83.0,383.85,639.0,158.1,1198.05,801.65,321.0,4553.65,81.55,17038.65,72.9,158.0,1206.1,735.3,16634.55,186.4,417.35,1775.2,284.55,67.25,276.2,549.85,947.45,323.65,3279.5,191.9
08-04-2020,250.85,1608.95,391.35,2241.7,2332.9,4608.5,342.3,461.65,2775.55,512.75,137.35,2168.95,3683.0,13158.5,512.6,463.1,888.9,476.6,1821.65,100.85,2460.85,1558.8,318.95,178.65,81.75,399.15,631.6,154.6,1187.65,807.1,326.4,4698.1,85.2,16871.25,74.45,158.35,1192.15,742.8,16063.95,183.0,436.7,1705.45,294.4,67.6,274.75,558.9,913.45,320.2,3256.45,192.9
09-04-2020,251.9,1651.35,420.15,2435.95,2551.85,4820.25,344.9,488.7,2801.7,579.6,140.8,2310.9,3621.55,13742.3,530.55,469.05,925.05,472.25,1990.9,107.55,2372.25,1703.1,342.7,185.25,83.4,395.4,636.25,166.3,1272.9,812.8,381.4,5326.65,87.1,16839.7,77.3,164.45,1219.95,739.45,16935.3,187.75,454.45,1766.15,309.05,74.6,284.85,545.25,1013.85,319.0,3366.05,196.7
13-04-2020,262.85,1680.85,418.95,2397.55,2287.3,4491.4,350.1,512.2,2706.15,592.85,145.9,2341.2,3746.6,13400.55,544.5,458.25,895.35,477.8,1919.05,113.8,2346.45,1655.2,330.65,181.6,83.15,410.4,637.4,167.65,1250.9,865.45,362.85,5283.15,88.65,16599.95,75.05,159.95,1189.15,707.75,17301.1,183.5,462.35,1759.25,305.05,74.25,282.55,526.85,966.85,324.95,3466.1,189.2
15-04-2020,268.9,1718.2,417.3,2335.15,2182.45,4599.1,353.85,510.5,2837.35,592.35,146.85,2395.45,3807.6,13314.9,535.4,478.75,863.3,471.7,1824.1,115.1,2487.55,1596.3,327.35,189.35,83.2,424.1,639.05,171.4,1173.75,880.15,353.15,5094.3,89.9,17325.9,74.35,159.55,1149.85,700.9,18138.55,182.35,449.2,1735.15,315.65,72.9,285.15,538.65,952.05,350.55,3600.15,186.55
16-04-2020,267.6,1743.1,422.55,2333.55,2220.0,4699.6,355.4,500.45,2836.8,600.45,147.4,2393.2,3860.65,13371.35,543.75,459.75,879.75,489.7,1782.65,120.55,2436.1,1625.75,342.0,186.35,84.7,435.4,623.85,170.65,1130.85,911.65,356.7,5130.8,95.1,17895.25,75.45,163.4,1168.05,685.25,18928.9,188.5,463.7,1716.05,324.05,74.65,288.9,517.65,985.25,363.2,3539.1,187.85
17-04-2020,268.15,1756.25,478.8,2379.15,2308.15,4999.7,360.1,502.45,2832.15,598.0,148.75,2332.2,3929.55,14770.35,545.55,455.25,910.3,495.5,1835.9,124.15,2385.0,1680.6,375.55,188.1,86.0,474.45,628.75,177.3,1186.25,932.9,363.2,5505.0,95.5,17324.3,76.3,167.75,1224.0,702.45,18946.75,193.25,457.1,1806.2,324.5,76.85,293.35,509.85,975.5,363.3,3534.05,187.0
20-04-2020,270.5,1730.45,455.95,2378.3,2308.25,4882.25,368.4,490.3,2833.0,585.4,144.2,2342.55,3844.75,14214.45,521.65,470.0,944.85,508.3,1805.85,116.45,2336.55,1727.7,361.3,180.7,87.55,456.7,653.3,167.5,1177.75,915.6,355.85,5331.35,98.9,16976.4,74.0,165.5,1243.8,700.0,18996.9,192.5,473.4,1818.65,324.7,80.45,286.4,524.85,975.5,354.75,3516.55,181.1
21-04-2020,265.2,1726.0,420.65,2323.25,2099.75,4595.05,355.25,500.5,2863.25,592.1,139.0,2406.6,4016.4,13495.0,509.55,455.7,921.65,496.35,1827.55,107.1,2317.4,1669.7,331.85,179.6,83.0,400.85,633.2,159.6,1130.15,870.35,332.05,5001.1,97.3,17015.35,69.35,162.65,1237.35,671.3,18828.45,184.75,473.15,1737.65,312.4,74.65,265.95,512.95,936.7,345.95,3403.25,178.05
